Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
9.50-9.75s,9.62s,non-breathing,non-breathing,MATCH,RED under RED
0.00-0.25s,0.12s,breathing,breathing,MATCH,GREEN under GREEN
4.75-5.00s,4.88s,non-breathing,breathing,MISMATCH,GREEN under RED
7.25-7.50s,7.38s,breathing,breathing,MATCH,GREEN under GREEN
28.00-28.25s,28.12s,non-breathing,non-breathing,MATCH,RED under RED
25.00-25.25s,25.12s,breathing,breathing,MATCH,GREEN under GREEN
13.50-13.75s,13.62s,breathing,breathing,MATCH,GREEN under GREEN
19.25-19.50s,19.38s,breathing,breathing,MATCH,GREEN under GREEN
2.00-2.25s,2.12s,breathing,breathing,MATCH,GREEN under GREEN
28.25-28.50s,28.38s,non-breathing,non-breathing,MATCH,RED under RED
12.75-13.00s,12.88s,breathing,breathing,MATCH,GREEN under GREEN
17.75-18.00s,17.88s,breathing,breathing,MATCH,GREEN under GREEN
22.25-22.50s,22.38s,non-breathing,non-breathing,MATCH,RED under RED
5.75-6.00s,5.88s,breathing,breathing,MATCH,GREEN under GREEN
4.00-4.25s,4.12s,non-breathing,non-breathing,MATCH,RED under RED
11.00-11.25s,11.12s,breathing,breathing,MATCH,GREEN under GREEN
22.75-23.00s,22.88s,non-breathing,non-breathing,MATCH,RED under RED
10.25-10.50s,10.38s,breathing,breathing,MATCH,GREEN under GREEN
6.50-6.75s,6.62s,non-breathing,non-breathing,MATCH,RED under RED
18.00-18.25s,18.12s,breathing,breathing,MATCH,GREEN under GREEN
8.25-8.50s,8.38s,non-breathing,breathing,MISMATCH,GREEN under RED
29.50-29.75s,29.62s,non-breathing,non-breathing,MATCH,RED under RED
23.25-23.50s,23.38s,non-breathing,non-breathing,MATCH,RED under RED
11.50-11.75s,11.62s,non-breathing,non-breathing,MATCH,RED under RED
29.25-29.50s,29.38s,non-breathing,non-breathing,MATCH,RED under RED
2.75-3.00s,2.88s,breathing,breathing,MATCH,GREEN under GREEN
16.00-16.25s,16.12s,breathing,breathing,MATCH,GREEN under GREEN
18.50-18.75s,18.62s,breathing,breathing,MATCH,GREEN under GREEN
