mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,file_path,filename
-476.0710219512462,183.18497263574048,46.17392630535922,1.5501073511371257,31.849244021609643,33.1464454024782,-3.9343192078122033,-17.785192238797993,-2.4661360304994053,1.8511433301619922,-8.15870866536167,-9.354109640151119,-4.143576130585079,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-394.5381870711569,197.25643216074434,32.92537268031595,-13.243465460588624,31.961429324577026,36.972912363780964,-5.171604165108812,-16.898335419631838,2.6878406796323495,2.251179131562246,-13.429148146483106,-10.79200278348525,-0.5585206755433507,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-370.8568073335297,123.51315344769046,48.42794695124596,13.84348797811348,22.083144561226735,24.15685283640965,4.008575429352392,-11.540864497700262,-8.06665052763955,-0.8495806634692598,-2.3030405141792776,-6.66130345500199,-6.950735361248707,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-502.9744743085918,71.80807310304321,41.228408250591244,21.359865410134713,15.514402131002068,10.216286698705554,0.9191654191806651,-5.224316614449329,-5.6470244805608125,-5.713228444774365,-8.030820714123022,-9.647973506458133,-8.873126097249532,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-428.1819793613531,247.49526643784148,29.75623787929942,-22.68641211743191,41.10653073430499,42.376304644779395,-14.676117527208557,-23.378439486591695,7.453211431364568,6.451383612853621,-15.52529856165204,-13.098492051865753,-0.8687305435394361,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-413.8951482677479,186.7860809226767,45.45263747593764,0.7684153827864278,33.748642307241006,35.20385765842955,-3.729511866141259,-17.886135795519813,-1.9442710029020418,1.6466576361000442,-9.40224622478116,-9.783207038638194,-3.3115244697709447,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-392.4161865972711,187.71974461068248,25.11315592884358,-19.59770732828347,29.135492382415418,39.16819903845181,-1.3556864768256776,-15.985809536052484,1.2225227506191567,1.7428846569598841,-12.629079304661058,-10.110650780450014,0.6699299694322965,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-373.20847199074194,172.04631577416808,27.713501943177977,-15.337263691591737,27.06204055578491,38.859268537618235,1.9959398526533842,-16.896011251535967,-3.8721418282569773,0.5589658193677617,-9.763840393673341,-9.826871551940558,-1.402024947119936,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-404.30577447029606,193.96280324014322,36.161006746152644,-8.726048685672232,31.868689935748886,33.888465498397444,-5.807611067511884,-14.075508162666058,4.961105131228277,1.4846234722686888,-15.408156999650734,-11.460146412112413,0.17980727540929348,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-372.3020475286926,171.8050253535024,25.7342526755639,-15.761353018652507,27.905153356503384,38.771903698100964,1.4409987651265892,-16.941589869029862,-4.015131121938863,0.5837445409617007,-8.400687721853265,-8.563430592872159,-3.057052701470336,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
