Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
25.50-25.75s,25.62s,breathing,breathing,MATCH,GREEN under GREEN
21.75-22.00s,21.88s,breathing,breathing,MATCH,GREEN under GREEN
22.25-22.50s,22.38s,breathing,breathing,MATCH,GREEN under GREEN
22.75-23.00s,22.88s,breathing,breathing,MATCH,GREEN under GREEN
2.00-2.25s,2.12s,breathing,breathing,MATCH,GREEN under GREEN
17.00-17.25s,17.12s,non-breathing,non-breathing,MATCH,RED under RED
1.00-1.25s,1.12s,non-breathing,non-breathing,MATCH,RED under RED
25.00-25.25s,25.12s,breathing,breathing,MATCH,GREEN under GREEN
0.00-0.25s,0.12s,non-breathing,non-breathing,MATCH,RED under RED
9.75-10.00s,9.88s,breathing,breathing,MATCH,GREEN under GREEN
27.75-28.00s,27.88s,breathing,breathing,MATCH,GREEN under GREEN
28.75-29.00s,28.88s,breathing,breathing,MATCH,GREEN under GREEN
0.50-0.75s,0.62s,non-breathing,non-breathing,MATCH,RED under RED
18.00-18.25s,18.12s,breathing,breathing,MATCH,GREEN under GREEN
24.25-24.50s,24.38s,non-breathing,non-breathing,MATCH,RED under RED
19.00-19.25s,19.12s,breathing,breathing,MATCH,GREEN under GREEN
27.00-27.25s,27.12s,non-breathing,non-breathing,MATCH,RED under RED
2.75-3.00s,2.88s,breathing,breathing,MATCH,GREEN under GREEN
11.50-11.75s,11.62s,breathing,breathing,MATCH,GREEN under GREEN
8.25-8.50s,8.38s,breathing,breathing,MATCH,GREEN under GREEN
18.25-18.50s,18.38s,breathing,breathing,MATCH,GREEN under GREEN
11.75-12.00s,11.88s,breathing,breathing,MATCH,GREEN under GREEN
16.50-16.75s,16.62s,non-breathing,non-breathing,MATCH,RED under RED
8.50-8.75s,8.62s,breathing,breathing,MATCH,GREEN under GREEN
26.25-26.50s,26.38s,breathing,breathing,MATCH,GREEN under GREEN
