Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
29.00-29.25s,29.12s,non-breathing,breathing,MISMATCH,GREEN under RED
25.75-26.00s,25.88s,breathing,breathing,MATCH,GREEN under GREEN
4.00-4.25s,4.12s,non-breathing,breathing,MISMATCH,GREEN under RED
10.75-11.00s,10.88s,breathing,breathing,MATCH,GREEN under GREEN
7.25-7.50s,7.38s,non-breathing,non-breathing,MATCH,RED under RED
28.50-28.75s,28.62s,non-breathing,breathing,MISMATCH,GREEN under RED
21.25-21.50s,21.38s,breathing,breathing,MATCH,GREEN under GREEN
12.75-13.00s,12.88s,breathing,breathing,MATCH,GREEN under GREEN
15.50-15.75s,15.62s,breathing,non-breathing,MISMATCH,RED under GREEN
19.00-19.25s,19.12s,non-breathing,non-breathing,MATCH,RED under RED
12.25-12.50s,12.38s,breathing,breathing,MATCH,GREEN under GREEN
27.00-27.25s,27.12s,breathing,breathing,MATCH,GREEN under GREEN
22.75-23.00s,22.88s,breathing,non-breathing,MISMATCH,RED under GREEN
26.75-27.00s,26.88s,non-breathing,non-breathing,MATCH,RED under RED
28.75-29.00s,28.88s,non-breathing,breathing,MISMATCH,GREEN under RED
3.25-3.50s,3.38s,breathing,non-breathing,MISMATCH,RED under GREEN
3.50-3.75s,3.62s,breathing,breathing,MATCH,GREEN under GREEN
7.50-7.75s,7.62s,non-breathing,non-breathing,MATCH,RED under RED
