Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
19.00-19.25s,19.12s,non-breathing,non-breathing,MATCH,RED under RED
11.50-11.75s,11.62s,breathing,breathing,MATCH,GREEN under GREEN
0.75-1.00s,0.88s,non-breathing,non-breathing,MATCH,RED under RED
7.00-7.25s,7.12s,breathing,breathing,MATCH,GREEN under GREEN
22.50-22.75s,22.62s,breathing,non-breathing,MISMATCH,RED under GREEN
28.75-29.00s,28.88s,breathing,non-breathing,MISMATCH,RED under GREEN
18.00-18.25s,18.12s,non-breathing,non-breathing,MATCH,RED under RED
3.75-4.00s,3.88s,breathing,non-breathing,MISMATCH,RED under GREEN
0.50-0.75s,0.62s,non-breathing,non-breathing,MATCH,RED under RED
15.50-15.75s,15.62s,non-breathing,non-breathing,MATCH,RED under RED
13.25-13.50s,13.38s,breathing,non-breathing,MISMATCH,RED under GREEN
9.25-9.50s,9.38s,breathing,non-breathing,MISMATCH,RED under GREEN
3.50-3.75s,3.62s,non-breathing,non-breathing,MATCH,RED under RED
6.00-6.25s,6.12s,non-breathing,non-breathing,MATCH,RED under RED
2.75-3.00s,2.88s,breathing,non-breathing,MISMATCH,RED under GREEN
28.50-28.75s,28.62s,breathing,non-breathing,MISMATCH,RED under GREEN
29.50-29.75s,29.62s,non-breathing,non-breathing,MATCH,RED under RED
25.50-25.75s,25.62s,breathing,breathing,MATCH,GREEN under GREEN
0.00-0.25s,0.12s,non-breathing,non-breathing,MATCH,RED under RED
15.00-15.25s,15.12s,breathing,non-breathing,MISMATCH,RED under GREEN
10.75-11.00s,10.88s,breathing,non-breathing,MISMATCH,RED under GREEN
14.75-15.00s,14.88s,breathing,non-breathing,MISMATCH,RED under GREEN
26.25-26.50s,26.38s,breathing,breathing,MATCH,GREEN under GREEN
5.50-5.75s,5.62s,non-breathing,non-breathing,MATCH,RED under RED
25.25-25.50s,25.38s,breathing,non-breathing,MISMATCH,RED under GREEN
9.75-10.00s,9.88s,breathing,breathing,MATCH,GREEN under GREEN
26.50-26.75s,26.62s,breathing,breathing,MATCH,GREEN under GREEN
13.75-14.00s,13.88s,non-breathing,non-breathing,MATCH,RED under RED
